function,smellKey,smellId
"public short getDefaultValueAs_short(){
    try {
        return initExpr == null ? 0 : Short.parseShort(initExpr);
    } catch (NumberFormatException nfe) {
        return StringUtils.isEmpty(initExpr) ? 0 : CoreComponentsBuilder.get().getMVELExecutor().eval(initExpr, Short.class);
    }
}",java:S100,
"public static Geometry ST_SymDifference(Geometry geom1, Geometry geom2){
    return geom1.symDifference(geom2);
}",java:S100,
"public static T CONST(final T v){
    return v;
}",java:S100,
"private static String escapePercentExceptWhenFollowedBy_n(String message){
    return revertEscapingPercent_n(escapePercent(message));
}",java:S100,
"public static Geometry ST_Rotate(Geometry geom, BigDecimal angle, BigDecimal x, BigDecimal y){
    AffineTransformation transformation = new AffineTransformation();
    transformation.rotate(angle.doubleValue(), x.doubleValue(), y.doubleValue());
    return transformation.transform(geom);
}",java:S100,
" static LookupImpl<TKey, TElement> toLookup_(Map<TKey, List<TElement>> map, Enumerable<TSource> source, Function1<TSource, TKey> keySelector, Function1<TSource, TElement> elementSelector){
    try (Enumerator<TSource> os = source.enumerator()) {
        while (os.moveNext()) {
            TSource o = os.current();
            final TKey key = keySelector.apply(o);
            @SuppressWarnings(""nullness"")
            List<TElement> list = map.get(key);
            if (list == null) {
                list = Collections.singletonList(elementSelector.apply(o));
            } else {
                if (list.size() == 1) {
                    TElement element = list.get(0);
                    list = new ArrayList<>();
                    list.add(element);
                }
                list.add(elementSelector.apply(o));
            }
            map.put(key, list);
        }
    }
    return new LookupImpl<>(map);
}",java:S100,
"public static Geometry ST_Snap(Geometry geom1, Geometry geom2, BigDecimal snapTolerance){
    GeometrySnapper snapper = new GeometrySnapper(geom1);
    return snapper.snapTo(geom2, snapTolerance.doubleValue());
}",java:S100,
"public String getCanonicalName_friendlyToInnerClasses(@NonNull final Class<?> cls){
    val name = cls.getCanonicalName();
    if (name == null) {
        return cls.getName().replace(""$"", "".$"").replace("".."", ""."");
    }
    return name;
}",java:S100,
"private void eliminaAllegatoBy_Doqui(CnmTAllegato cnmTAllegato){
    String idIndex = validateRequestAllegatoAndGetIdIndex(cnmTAllegato);
    ResponseEliminaDocumento response = null;
    if (idIndex != null) {
        response = doquiServiceFacade.eliminaDocumentoIndex(idIndex);
        if (response == null)
            throw new RuntimeException(""documento non trovato su per idIndex:"" + idIndex);
    }
    List<CnmTAllegatoField> field = cnmTAllegatoFieldRepository.findByCnmTAllegato(cnmTAllegato);
    if (field != null && !field.isEmpty())
        cnmTAllegatoFieldRepository.delete(field);
    cnmTAllegatoRepository.delete(cnmTAllegato);
}",java:S100,
"protected ArrayList<String> _split_multi_line(String text, int max_len){
    ArrayList<String> output = new ArrayList<String>();
    text = text.trim();
    if (text.length() <= max_len) {
        output.add(text);
        return output;
    }
    ArrayList<String> words = new ArrayList<String>();
    Collections.addAll(words, text.split(""\\s+""));
    while (!words.isEmpty()) {
        text = words.remove(0);
        while (!words.isEmpty() && (text.length() + 1 + words.get(0).length()) <= max_len) {
            text += "" "" + words.remove(0);
            text = text.trim();
        }
        output.add(text);
    }
    assert words.isEmpty();
    return output;
}",java:S100,
"private static Enumerable<TSource> semiJoinWithPredicate_(final Enumerable<TSource> outer, final Enumerable<TInner> inner, final Function1<TSource, TKey> outerKeySelector, final Function1<TInner, TKey> innerKeySelector, final EqualityComparer<TKey> comparer, final boolean anti, final Predicate2<TSource, TInner> nonEquiPredicate){
    return new AbstractEnumerable<TSource>() {

        @Override
        public Enumerator<TSource> enumerator() {
            final Supplier<Lookup<TKey, TInner>> innerLookup = Suppliers.memoize(() -> comparer == null ? inner.toLookup(innerKeySelector) : inner.toLookup(innerKeySelector, comparer));
            final Predicate1<TSource> predicate = v0 -> {
                TKey key = outerKeySelector.apply(v0);
                @SuppressWarnings(""argument.type.incompatible"")
                Enumerable<TInner> innersOfKey = innerLookup.get().get(key);
                if (innersOfKey == null) {
                    return anti;
                }
                try (Enumerator<TInner> os = innersOfKey.enumerator()) {
                    while (os.moveNext()) {
                        TInner v1 = os.current();
                        if (nonEquiPredicate.apply(v0, v1)) {
                            return !anti;
                        }
                    }
                    return anti;
                }
            };
            return EnumerableDefaults.where(outer.enumerator(), predicate);
        }
    };
}",java:S100,
