function,smellKey,smellKey_encoded
"private void updateFunction(LambdaClient lambdaClient, Exchange exchange) throws Exception{
    UpdateFunctionCodeRequest request = null;
    UpdateFunctionCodeResponse result;
    if (getConfiguration().isPojoRequest()) {
        request = exchange.getIn().getMandatoryBody(UpdateFunctionCodeRequest.class);
    } else {
        UpdateFunctionCodeRequest.Builder builder = UpdateFunctionCodeRequest.builder();
        builder.functionName(getEndpoint().getFunction());
        if (ObjectHelper.isEmpty(exchange.getIn().getBody()) && ObjectHelper.isEmpty(exchange.getIn().getHeader(Lambda2Constants.S3_BUCKET)) && ObjectHelper.isEmpty(exchange.getIn().getHeader(Lambda2Constants.S3_KEY))) {
            throw new IllegalArgumentException("At least S3 bucket/S3 key or zip file must be specified");
        }
        if (ObjectHelper.isNotEmpty(exchange.getIn().getHeader(Lambda2Constants.PUBLISH))) {
            Boolean publish = exchange.getIn().getHeader(Lambda2Constants.PUBLISH, Boolean.class);
            builder.publish(publish);
        }
        request = builder.build();
    }
    try {
        result = lambdaClient.updateFunctionCode(request);
    } catch (AwsServiceException ase) {
        LOG.trace("updateFunction command returned the error code {}", ase.awsErrorDetails().errorCode());
        throw ase;
    }
    Message message = getMessageForResponse(exchange);
    message.setBody(result);
}",java:S112,4
"private void createCluster(KafkaClient mskClient, Exchange exchange) throws InvalidPayloadException{
    if (getConfiguration().isPojoRequest()) {
        Object payload = exchange.getIn().getMandatoryBody();
        if (payload instanceof CreateClusterRequest) {
            CreateClusterResponse response;
            try {
                response = mskClient.createCluster((CreateClusterRequest) payload);
            } catch (AwsServiceException ase) {
                LOG.trace(""Create Cluster command returned the error code {}"", ase.awsErrorDetails().errorCode());
                throw ase;
            }
            Message message = getMessageForResponse(exchange);
            message.setBody(response);
        }
    } else {
        CreateClusterRequest.Builder builder = CreateClusterRequest.builder();
        if (ObjectHelper.isNotEmpty(exchange.getIn().getHeader(MSK2Constants.CLUSTER_NAME))) {
            String name = exchange.getIn().getHeader(MSK2Constants.CLUSTER_NAME, String.class);
            builder.clusterName(name);
        } else {
            throw new IllegalArgumentException(""Cluster Name must be specified"");
        }
        if (ObjectHelper.isNotEmpty(exchange.getIn().getHeader(MSK2Constants.CLUSTER_KAFKA_VERSION))) {
            String version = exchange.getIn().getHeader(MSK2Constants.CLUSTER_KAFKA_VERSION, String.class);
            builder.kafkaVersion(version);
        } else {
            throw new IllegalArgumentException(""Kafka Version must be specified"");
        }
        if (ObjectHelper.isNotEmpty(exchange.getIn().getHeader(MSK2Constants.BROKER_NODES_NUMBER))) {
            Integer nodesNumber = exchange.getIn().getHeader(MSK2Constants.BROKER_NODES_NUMBER, Integer.class);
            builder.numberOfBrokerNodes(nodesNumber);
        } else {
            throw new IllegalArgumentException(""Kafka Version must be specified"");
        }
        if (ObjectHelper.isNotEmpty(exchange.getIn().getHeader(MSK2Constants.BROKER_NODES_GROUP_INFO))) {
            BrokerNodeGroupInfo brokerNodesGroupInfo = exchange.getIn().getHeader(MSK2Constants.BROKER_NODES_GROUP_INFO, BrokerNodeGroupInfo.class);
            builder.brokerNodeGroupInfo(brokerNodesGroupInfo);
        } else {
            throw new IllegalArgumentException(""BrokerNodeGroupInfo must be specified"");
        }
        CreateClusterResponse response;
        try {
            response = mskClient.createCluster(builder.build());
        } catch (AwsServiceException ase) {
            LOG.trace(""Create Cluster command returned the error code {}"", ase.awsErrorDetails().errorCode());
            throw ase;
        }
        Message message = getMessageForResponse(exchange);
        message.setBody(response);
    }
}",java:S3776,39
"protected Queue<Exchange> createExchanges(List<S3Object> s3ObjectSummaries){
    if (LOG.isTraceEnabled()) {
        LOG.trace(""Received {} messages in this poll"", s3ObjectSummaries.size());
    }
    Collection<ResponseInputStream<GetObjectResponse>> s3Objects = new ArrayList<>();
    Queue<Exchange> answer = new LinkedList<>();
    try {
        for (S3Object s3ObjectSummary : s3ObjectSummaries) {
            Builder getRequest = GetObjectRequest.builder().bucket(getConfiguration().getBucketName()).key(s3ObjectSummary.key());
            if (getConfiguration().isUseCustomerKey()) {
                if (ObjectHelper.isNotEmpty(getConfiguration().getCustomerKeyId())) {
                    getRequest.sseCustomerKey(getConfiguration().getCustomerKeyId());
                }
                if (ObjectHelper.isNotEmpty(getConfiguration().getCustomerKeyMD5())) {
                    getRequest.sseCustomerKeyMD5(getConfiguration().getCustomerKeyMD5());
                }
                if (ObjectHelper.isNotEmpty(getConfiguration().getCustomerAlgorithm())) {
                    getRequest.sseCustomerAlgorithm(getConfiguration().getCustomerAlgorithm());
                }
            }
            ResponseInputStream<GetObjectResponse> s3Object = getAmazonS3Client().getObject(getRequest.build(), ResponseTransformer.toInputStream());
            if (includeS3Object(s3Object)) {
                s3Objects.add(s3Object);
                Exchange exchange = createExchange(s3Object, s3ObjectSummary.key());
                answer.add(exchange);
            } else {
                IOHelper.close(s3Object);
            }
        }
    } catch (Exception e) {
        LOG.warn(""Error getting S3Object due: {}"", e.getMessage(), e);
        s3Objects.forEach(IOHelper::close);
        throw e;
    }
    return answer;
}",java:S3776,39
